"","age","sd_-2.67","percentile_0.4","height_0.4","sd_-2","percentile_2","height_2","sd_-1.33","percentile_9","height_9","sd_-0.67","percentile_25","height_25","sd_0","percentile_50","height_50","sd_0.67","percentile_75","height_75","sd_1.33","percentile_91","height_91","sd_2","percentile_98","height_98","sd_2.67","percentile_99.6","height_99.6"
"1",4,"-2.67","0.4",90.7984,"-2","2",93.4838,"-1.33","9",96.1692,"-0.67","25",98.8546,"0","50",101.54,"0.67","75",104.2254,"1.33","91",106.9108,"2","98",109.5962,"2.67","99.6",112.2816
"2",4.0833,"-2.67","0.4",91.2844,"-2","2",93.9933,"-1.33","9",96.7022,"-0.67","25",99.4111,"0","50",102.12,"0.67","75",104.8289,"1.33","91",107.5378,"2","98",110.2467,"2.67","99.6",112.9556
"3",4.1667,"-2.67","0.4",91.7762,"-2","2",94.5096,"-1.33","9",97.2431,"-0.67","25",99.9765,"0","50",102.71,"0.67","75",105.4435,"1.33","91",108.1769,"2","98",110.9104,"2.67","99.6",113.6438
"4",4.25,"-2.67","0.4",92.2792,"-2","2",95.0369,"-1.33","9",97.7946,"-0.67","25",100.5523,"0","50",103.31,"0.67","75",106.0677,"1.33","91",108.8254,"2","98",111.5831,"2.67","99.6",114.3408
"5",4.3333,"-2.67","0.4",92.7819,"-2","2",95.5639,"-1.33","9",98.346,"-0.67","25",101.128,"0","50",103.91,"0.67","75",106.692,"1.33","91",109.474,"2","98",112.2561,"2.67","99.6",115.0381
"6",4.4167,"-2.67","0.4",93.3021,"-2","2",96.1091,"-1.33","9",98.916,"-0.67","25",101.723,"0","50",104.53,"0.67","75",107.337,"1.33","91",110.144,"2","98",112.9509,"2.67","99.6",115.7579
"7",4.5,"-2.67","0.4",93.819,"-2","2",96.6518,"-1.33","9",99.4845,"-0.67","25",102.3173,"0","50",105.15,"0.67","75",107.9827,"1.33","91",110.8155,"2","98",113.6482,"2.67","99.6",116.481
"8",4.5833,"-2.67","0.4",94.3384,"-2","2",97.1963,"-1.33","9",100.0542,"-0.67","25",102.9121,"0","50",105.77,"0.67","75",108.6279,"1.33","91",111.4858,"2","98",114.3437,"2.67","99.6",117.2016
"9",4.6667,"-2.67","0.4",94.8662,"-2","2",97.7497,"-1.33","9",100.6331,"-0.67","25",103.5166,"0","50",106.4,"0.67","75",109.2834,"1.33","91",112.1669,"2","98",115.0503,"2.67","99.6",117.9338
"10",4.75,"-2.67","0.4",95.3848,"-2","2",98.2936,"-1.33","9",101.2024,"-0.67","25",104.1112,"0","50",107.02,"0.67","75",109.9288,"1.33","91",112.8376,"2","98",115.7464,"2.67","99.6",118.6552
"11",4.8333,"-2.67","0.4",95.9058,"-2","2",98.8394,"-1.33","9",101.7729,"-0.67","25",104.7065,"0","50",107.64,"0.67","75",110.5735,"1.33","91",113.5071,"2","98",116.4406,"2.67","99.6",119.3742
"12",4.9167,"-2.67","0.4",96.4265,"-2","2",99.3848,"-1.33","9",102.3432,"-0.67","25",105.3016,"0","50",108.26,"0.67","75",111.2184,"1.33","91",114.1768,"2","98",117.1352,"2.67","99.6",120.0935
"13",5,"-2.67","0.4",96.9289,"-2","2",99.9117,"-1.33","9",102.8945,"-0.67","25",105.8772,"0","50",108.86,"0.67","75",111.8428,"1.33","91",114.8255,"2","98",117.8083,"2.67","99.6",120.7911
"14",5.0833,"-2.67","0.4",97.4251,"-2","2",100.4313,"-1.33","9",103.4375,"-0.67","25",106.4438,"0","50",109.45,"0.67","75",112.4562,"1.33","91",115.4625,"2","98",118.4687,"2.67","99.6",121.4749
"15",5.1667,"-2.67","0.4",97.912,"-2","2",100.9415,"-1.33","9",103.971,"-0.67","25",107.0005,"0","50",110.03,"0.67","75",113.0595,"1.33","91",116.089,"2","98",119.1185,"2.67","99.6",122.148
"16",5.25,"-2.67","0.4",98.3898,"-2","2",101.4423,"-1.33","9",104.4949,"-0.67","25",107.5474,"0","50",110.6,"0.67","75",113.6526,"1.33","91",116.7051,"2","98",119.7577,"2.67","99.6",122.8102
"17",5.3333,"-2.67","0.4",98.8613,"-2","2",101.9359,"-1.33","9",105.0106,"-0.67","25",108.0853,"0","50",111.16,"0.67","75",114.2347,"1.33","91",117.3094,"2","98",120.3841,"2.67","99.6",123.4587
"18",5.4167,"-2.67","0.4",99.3266,"-2","2",102.4224,"-1.33","9",105.5183,"-0.67","25",108.6141,"0","50",111.71,"0.67","75",114.8059,"1.33","91",117.9017,"2","98",120.9976,"2.67","99.6",124.0934
"19",5.5,"-2.67","0.4",99.7739,"-2","2",102.8904,"-1.33","9",106.0069,"-0.67","25",109.1235,"0","50",112.24,"0.67","75",115.3565,"1.33","91",118.4731,"2","98",121.5896,"2.67","99.6",124.7061
"20",5.5833,"-2.67","0.4",100.221,"-2","2",103.3582,"-1.33","9",106.4955,"-0.67","25",109.6327,"0","50",112.77,"0.67","75",115.9073,"1.33","91",119.0445,"2","98",122.1818,"2.67","99.6",125.319
"21",5.6667,"-2.67","0.4",100.6619,"-2","2",103.819,"-1.33","9",106.976,"-0.67","25",110.133,"0","50",113.29,"0.67","75",116.447,"1.33","91",119.604,"2","98",122.761,"2.67","99.6",125.9181
"22",5.75,"-2.67","0.4",101.1027,"-2","2",104.2796,"-1.33","9",107.4564,"-0.67","25",110.6332,"0","50",113.81,"0.67","75",116.9868,"1.33","91",120.1636,"2","98",123.3404,"2.67","99.6",126.5173
"23",5.8333,"-2.67","0.4",101.5345,"-2","2",104.7308,"-1.33","9",107.9272,"-0.67","25",111.1236,"0","50",114.32,"0.67","75",117.5164,"1.33","91",120.7128,"2","98",123.9092,"2.67","99.6",127.1055
"24",5.9167,"-2.67","0.4",101.9602,"-2","2",105.1751,"-1.33","9",108.3901,"-0.67","25",111.605,"0","50",114.82,"0.67","75",118.035,"1.33","91",121.2499,"2","98",124.4649,"2.67","99.6",127.6798
"25",6,"-2.67","0.4",102.3946,"-2","2",105.6284,"-1.33","9",108.8623,"-0.67","25",112.0961,"0","50",115.33,"0.67","75",118.5639,"1.33","91",121.7977,"2","98",125.0316,"2.67","99.6",128.2654
"26",6.0833,"-2.67","0.4",102.82,"-2","2",106.0725,"-1.33","9",109.325,"-0.67","25",112.5775,"0","50",115.83,"0.67","75",119.0825,"1.33","91",122.335,"2","98",125.5875,"2.67","99.6",128.84
"27",6.1667,"-2.67","0.4",103.2483,"-2","2",106.5187,"-1.33","9",109.7892,"-0.67","25",113.0596,"0","50",116.33,"0.67","75",119.6004,"1.33","91",122.8708,"2","98",126.1413,"2.67","99.6",129.4117
"28",6.25,"-2.67","0.4",103.6676,"-2","2",106.9557,"-1.33","9",110.2438,"-0.67","25",113.5319,"0","50",116.82,"0.67","75",120.1081,"1.33","91",123.3962,"2","98",126.6843,"2.67","99.6",129.9724
"29",6.3333,"-2.67","0.4",104.0868,"-2","2",107.3926,"-1.33","9",110.6984,"-0.67","25",114.0042,"0","50",117.31,"0.67","75",120.6158,"1.33","91",123.9216,"2","98",127.2274,"2.67","99.6",130.5332
"30",6.4167,"-2.67","0.4",104.5147,"-2","2",107.8386,"-1.33","9",111.1624,"-0.67","25",114.4862,"0","50",117.81,"0.67","75",121.1338,"1.33","91",124.4576,"2","98",127.7814,"2.67","99.6",131.1053
"31",6.5,"-2.67","0.4",104.9337,"-2","2",108.2753,"-1.33","9",111.6168,"-0.67","25",114.9584,"0","50",118.3,"0.67","75",121.6416,"1.33","91",124.9832,"2","98",128.3247,"2.67","99.6",131.6663
"32",6.5833,"-2.67","0.4",105.3556,"-2","2",108.7142,"-1.33","9",112.0728,"-0.67","25",115.4314,"0","50",118.79,"0.67","75",122.1486,"1.33","91",125.5072,"2","98",128.8658,"2.67","99.6",132.2244
"33",6.6667,"-2.67","0.4",105.7743,"-2","2",109.1507,"-1.33","9",112.5272,"-0.67","25",115.9036,"0","50",119.28,"0.67","75",122.6564,"1.33","91",126.0328,"2","98",129.4093,"2.67","99.6",132.7857
"34",6.75,"-2.67","0.4",106.1961,"-2","2",109.5895,"-1.33","9",112.983,"-0.67","25",116.3765,"0","50",119.77,"0.67","75",123.1635,"1.33","91",126.557,"2","98",129.9504,"2.67","99.6",133.3439
"35",6.8333,"-2.67","0.4",106.6177,"-2","2",110.0283,"-1.33","9",113.4389,"-0.67","25",116.8494,"0","50",120.26,"0.67","75",123.6706,"1.33","91",127.0811,"2","98",130.4917,"2.67","99.6",133.9023
"36",6.9167,"-2.67","0.4",107.057,"-2","2",110.4852,"-1.33","9",113.9135,"-0.67","25",117.3417,"0","50",120.77,"0.67","75",124.1983,"1.33","91",127.6265,"2","98",131.0548,"2.67","99.6",134.483
"37",7,"-2.67","0.4",107.4905,"-2","2",110.9354,"-1.33","9",114.3802,"-0.67","25",117.8251,"0","50",121.27,"0.67","75",124.7149,"1.33","91",128.1598,"2","98",131.6046,"2.67","99.6",135.0495
